Название,Компания,Регион,Опыт работы,Зарплата от,Зарплата до,Валюта,Требования,Ключевые навыки,Ссылка
Политический аналитик / обозреватель,Вавилон,Москва,От 1 года до 3 лет,150000.0,,RUR,"Английский язык (уровень от В2 и выше). Навык выстраивания экспертно-аналитической деятельности. Знание и применение методов и процедур, применяемых...","Политическая журналистика, Мониторинг СМИ, Написание информационных текстов, Информационные статьи, Мониторинг трендов",https://hh.ru/vacancy/117722682
BI-аналитик,Топассистент,Москва,От 3 до 6 лет,400000.0,,RUR,опыт работы в роли <highlighttext>аналитика</highlighttext> / BI-<highlighttext>аналитика</highlighttext> от 3 лет. - опыт работы с Power BI от 3 лет. - ,"Power BI, Python, SQL, BI-системы, Базы данных, Математическая статистика, Автоматизация отчетности",https://hh.ru/vacancy/117723095
Оператор-аналитик в Excel,Керамик Молл,Москва,Более 6 лет,40000.0,60000.0,RUR,"Внимательность, аналитический склад ума. Знание Excel и Google-сервисов (Google Sheets, Google Docs). Уверенный пользователь ПК. Ответственность, активная жизненная позиция...",Не указаны,https://hh.ru/vacancy/117785917
Аналитик данных в Excel,Genesis,Москва,От 1 года до 3 лет,50000.0,,RUR,"Уверенный пользователь ПК (Excel). Опыт выгрузки данных из облака в Excel. Внимательность, скрупулёзность.",Не указаны,https://hh.ru/vacancy/117640799
Аналитик,Глонасс,Москва,Нет опыта,200000.0,200000.0,RUR,"Высшее экономическое образование. Цифровая грамотность: Word, 1С - 8, PowerPoint, продвинутые знания EXCEL, ACCESS, SQL и пр. Навыки: Умением работать...","Автоматизация, Автоматизация процессов, Автоматизация отчетов",https://hh.ru/vacancy/116814056
Финансовый аналитик,Балина Ирина Юрьевна,Москва,От 1 года до 3 лет,70000.0,,RUR,Навык работы с большим объемом данных. Опыт работы бухгалтером от 1-2 года. Опыт ведения полного цикла бухгалтерского учета (не...,Не указаны,https://hh.ru/vacancy/116696632
Data-аналитик в области временных рядов (Junior),ИНИТИ,Москва,От 1 года до 3 лет,247000.0,,RUR,"Уверенные знания Python и библиотек для работы с данными (pandas, numpy, scipy, matplotlib, seaborn). Опыт работы с временными рядами и...",Не указаны,https://hh.ru/vacancy/117706683
Системный аналитик,Группа компаний МЕДСИ,Москва,От 1 года до 3 лет,200000.0,250000.0,RUR,Мы хотим работать с тобой. Опыт работы системным <highlighttext>аналитиком</highlighttext> – от 2 лет. Знание и опыт применения SQL и нотаций UML...,"SQL, XML, BPMN, UML, Аналитическое мышление, Бизнес-анализ, Системный анализ, SOAP",https://hh.ru/vacancy/117791121
Аналитик,GrowCraft,Москва,Нет опыта,80000.0,,RUR,Высокий уровень самоорганизации и готовность брать на себя ответственность за результат. Аналитический склад ума и умение работать с большими объёмами...,"Аналитика продаж, Планирование продаж, Стратегия продаж, Ориентация на результат, Построение воронки продаж, ABC-анализ, Внутренняя реклама, маркетинг, Маркетолог, Анализ воронки продаж, Анализ конкурентной среды, Оптимизация воронки продаж",https://hh.ru/vacancy/117572981
Аналитик проекта,ФГБУ ВНИИ труда Минтруда России,Москва,От 3 до 6 лет,150000.0,,RUR,"высшее образование (магистратура, специалитет) в сфере математики, социологии, экономики, ИТ. - знание методологии статистических расчетов. - уверенное пользование ПК, продвинутый уровень пользования...",Не указаны,https://hh.ru/vacancy/117666364
