Название,Компания,Регион,Опыт работы,Зарплата от,Зарплата до,Валюта,Требования,Ключевые навыки,Ссылка
Оператор-аналитик в Excel,Керамик Молл,Москва,Более 6 лет,40000.0,60000.0,RUR,"Внимательность, аналитический склад ума. Знание Excel и Google-сервисов (Google Sheets, Google Docs). Уверенный пользователь ПК. Ответственность, активная жизненная позиция...",Не указаны,https://hh.ru/vacancy/117785917
Аналитик,Глонасс,Москва,Нет опыта,200000.0,200000.0,RUR,"Высшее экономическое образование. Цифровая грамотность: Word, 1С - 8, PowerPoint, продвинутые знания EXCEL, ACCESS, SQL и пр. Навыки: Умением работать...","Автоматизация, Автоматизация процессов, Автоматизация отчетов",https://hh.ru/vacancy/116814056
Системный аналитик,Группа компаний МЕДСИ,Москва,От 1 года до 3 лет,200000.0,250000.0,RUR,Мы хотим работать с тобой. Опыт работы системным <highlighttext>аналитиком</highlighttext> – от 2 лет. Знание и опыт применения SQL и нотаций UML...,"SQL, XML, BPMN, UML, Аналитическое мышление, Бизнес-анализ, Системный анализ, SOAP",https://hh.ru/vacancy/117791121
Junior Data Scientist \ Аналитик,M1,Москва,От 1 года до 3 лет,50000.0,60000.0,RUR,Работать с большими объемами данных. Анализировать и визуализировать данные. Для этого нужно: Знание SQL и опыт работы с СУБД: PostgreSQL...,"Python, PostgreSQL, MariaDB, Clickhouse, MS SQL",https://hh.ru/vacancy/117152095
Стажер Бизнес-аналитик ВТБ Юниор,Банк ВТБ (ПАО),Москва,Нет опыта,75000.0,75000.0,RUR,"Учишься на экономической, математической, технической или ИТ-специальности. Владеешь MS Excel на продвинутом уровне. Имеешь базовые знания SQL и Python. ",Не указаны,https://hh.ru/vacancy/117579801
Аналитик данных,Азбука вкуса,Москва,От 1 года до 3 лет,200000.0,200000.0,RUR,"Уверенный пользователь MS Excel (формулы, макросы, Power Query, сводные таблицы и проч.). Уверенное владение SQL: автоматизация процедур, важно умение писать...","Python, VBA, SQL, Аналитическое мышление, WMS, Складская логистика",https://hh.ru/vacancy/117027217
Руководитель группы аналитики,Государственная гражданская служба,Москва,От 3 до 6 лет,220000.0,250000.0,RUR,Опыт в финансовом анализе бизнеса и бизнес-<highlighttext>аналитике</highlighttext> — от 3 лет. — Знание современных подходов к управлению долгом и государственными финансами. ,"Бизнес-анализ, Анализ бизнес-процессов, Реинжиниринг бизнес-процессов, Управление проектами, Финансовый анализ, SQL, Python, Анализ данных",https://hh.ru/vacancy/117674211
Системный аналитик,Soar high software,Москва,Нет опыта,100000.0,150000.0,RUR,"Высшее образование (желательно техническое или математическое). Плюсом будет знание языков программирования (например, SQL, Python). Понимание принципов работы реляционных баз данных. ","Работа с базами данных, REST, API, SOAP, Scrum, JSON, Сбор и анализ информации, Системный анализ, XML, SQL, Бизнес-анализ, BPMN, UML, Разработка технических заданий, Моделирование бизнес процессов",https://hh.ru/vacancy/117682807
Директор по бизнес-процессам / системный аналитик (бизнес-аналитик),Крупная аптечная сеть,Москва,От 3 до 6 лет,400000.0,1000000.0,RUR,Опыт работы руководителем группы системных <highlighttext>аналитиков</highlighttext> от 3-х лет. Опыт управления командой от 5 человек. Опыт непосредственной разработки ПО...,Не указаны,https://hh.ru/vacancy/116134848
Аналитик видеонаблюдения,АКО,Москва,Нет опыта,40000.0,56000.0,RUR,"у вас есть опыт в контроле качества, техподдержке, видеонаблюдении, обучении торгового персонала, вы работали в КРО или в службе безопасности.  ",Не указаны,https://hh.ru/vacancy/117780216
Системный аналитик,AlfaBit,Москва,От 3 до 6 лет,180000.0,350000.0,RUR,"Понимание архитектурных паттернов. Понимание принципов взаимодействия информационных систем, БД, интеграционных механизмов. Понимание гибких проектных методологий. Опыт работы в проектах с...",Не указаны,https://hh.ru/vacancy/117158835
Ассистент финансового аналитика,Инфраструктурные решения и работы,Москва,Нет опыта,50000.0,90000.0,RUR,"Уверенное владение Excel. Уровень английского — B2 (Upper-Intermediate) и выше. Базовые знания фин. отчётности, бух. учёта.","Английский язык, MS Excel, Бухгалтерский учет",https://hh.ru/vacancy/117592821
Финансовый аналитик,Avilon Group,Москва,От 1 года до 3 лет,160000.0,200000.0,RUR,Высшее образование. Опыт работы в аналогичной должности. Опыт работы в производственных компаниях будет являться существенным преимуществом. Знание основ бухгалтерского учета...,Управленческая отчетность,https://hh.ru/vacancy/117612207
Бизнес-аналитик,Mindbox,Москва,От 1 года до 3 лет,210000.0,275000.0,RUR,Быстрая адаптация к новым инструментам и методологиям на платформе. Опыт работы бизнес-<highlighttext>аналитиком</highlighttext> не менее 1 года в IT/SaaS. ,Не указаны,https://hh.ru/vacancy/117374819
Финансовый аналитик,Азимут,Москва,Нет опыта,110000.0,130000.0,RUR,"Высшее образование (экономические, математические, статистические специальности. Уверенный пользователь Excel (Power Query +Power Pivot, Power BI, Tableau). Знание принципов бюджетирования и...","Финансовый анализ, Финансовая отчетность, Финансовая стратегия, Управление налоговыми рисками, План-факт анализ, Бюджетирование, Финансовый аудит, Аналитическое мышление, Финансовое планирование, Финансовый менеджмент, Финансовое моделирование, Финансовый контроль, Отчет о финансовых результатах, Формирование аналитической отчетности, Экономический анализ",https://hh.ru/vacancy/116854503
Аналитик-тестировщик с редкими командировками (срочный выход),АЙТИ КА,Москва,От 1 года до 3 лет,80000.0,120000.0,RUR,"Опыт ручного тестирования, желание развиваться в <highlighttext>аналитике</highlighttext> или автоматизации.  Понимание логики бизнес-процессов и процессов производства.  Готовность работать без готовых...","Функциональное тестирование, Составление тест-кейсов, Тестирование по тест-кейсам, Анализ требований, Исправление багов, Составление баг-репортов, Ручное тестирование, Анализ тестирования",https://hh.ru/vacancy/117580391
Главный финансовый аналитик,Бизан,Москва,От 3 до 6 лет,200000.0,300000.0,RUR,"Высшее экономическое образованное. Знание принципов бухгалтерского, управленческого учета. Релевантный опыт работы (опыт работы в консалтинге является преимуществом). Понимание стандарта разработки...","Финансовый анализ, Финансовое моделирование, MS Excel, Работа с большим объемом информации, Аналитические тексты",https://hh.ru/vacancy/117765282
Аналитик 1С младший,Чит-код,Москва,От 1 года до 3 лет,150000.0,230000.0,RUR,"Вы работали в 1С как пользователь более 6 месяцев? В целом понятно, а что конкретно нужно будет делать?","1С: Комплексная автоматизация, Автоматизация управленческой отчетности, 1С: ERP, 1C: Управление торговлей",https://hh.ru/vacancy/117565765
Администратор бизнес процессов / Бизнес аналитик,Центр ДНК Тест,Москва,От 1 года до 3 лет,200000.0,450000.0,RUR,Опыт работы в Business Studio. - Опыт от 1-го года в области администрирования/описания/реинжиниринга бизнес-процессов. - Знание методологии и...,"Анализ бизнес-процессов, Бизнес-анализ, Разработка пользовательской документации, Business Studio, MS Visio",https://hh.ru/vacancy/116904019
Бизнес-аналитик/Системный аналитик Junior,Осока Виталий Михайлович,Москва,Нет опыта,80000.0,120000.0,RUR,"Уверенный пользователь MS Office. В частности, отличные навыки Excel. Умение анализировать и систематизировать информацию. Умение ясно и лаконично выражать свои...","Анализ бизнес-процессов, Стратегическое планирование, Аналитическое мышление, Моделирование бизнес процессов, Автоматизация бизнес-процессов, Разработка бизнес-требований",https://hh.ru/vacancy/117287846
Аналитик маркетплейсов,Примио,Москва,Нет опыта,40000.0,40000.0,RUR,Внимательны к деталям. -Не боитесь учиться и хотите погрузиться в новую сферу. -Усидчивы(для Вас не проблема провести за компьютером...,MS Excel,https://hh.ru/vacancy/117380635
Аналитик данных (Data Analyst),Национальный исследовательский университет Высшая школа экономики,Москва,Нет опыта,80000.0,100000.0,RUR,Навыки работы с большими массивами данных и выявления отклонений или тенденций. Продвинутый уровень владения MS Excel: умение работать с формулами...,Не указаны,https://hh.ru/vacancy/117410530
Аналитик/Разработчик Power BI,Импауэр,Москва,Более 6 лет,250000.0,350000.0,RUR,"Продвинутое знание SQL, умение писать сложные запросы - готовность пройти тестирование на знание SQL. Продвинутое знание инструментария Power BI - опыт работы...","SQL, Power BI, Анализ бизнес-процессов, Анализ требований, Постановка задач разработчикам, 1С, Битрикс24, ETL, API, Коммуникативные навыки",https://hh.ru/vacancy/117652745
Системный аналитик,LIFE PAY,Москва,От 3 до 6 лет,300000.0,400000.0,RUR,Стаж работы по специальности не менее 2-х лет. Опыт написания постановочной документации уровня функциональной и технической спецификации. ,"Аналитическое мышление, BPMN, UML, REST API, BDD, openAPI",https://hh.ru/vacancy/115639729
Бизнес-аналитик,Soar high software,Москва,Нет опыта,100000.0,140000.0,RUR,"Высшее образование (желательно техническое или математическое). Плюсом будет знание языков программирования (например, SQL, Python). Понимание принципов работы реляционных баз данных. ","Работа с базами данных, REST, API, SOAP, Scrum, JSON, Сбор и анализ информации, Системный анализ, XML, SQL, Бизнес-анализ, BPMN, UML, Разработка технических заданий, Моделирование бизнес процессов",https://hh.ru/vacancy/117396626
Аналитик данных - Data Analyst (middle),Smartis,Москва,От 1 года до 3 лет,180000.0,210000.0,RUR,"Опыт работы в роли <highlighttext>аналитика</highlighttext> данных на уровне middle (от 2 лет). Глубокое знание SQL (MySQL, ClickHouse). Опыт работы с...","SQL, Python, JSON, MS SQL, Big Data, Clickhouse, Маркетинговые метрики",https://hh.ru/vacancy/117537089
"Инвестиционный аналитик (GCC: UAE, Qatar, Kuwait, Bahrain, Saudi Arabia, Oman)",HR-Stalker,Москва,От 3 до 6 лет,270000.0,400000.0,RUR,"О роли: Опыт в финансовом анализе, моделировании и оценке рынка. Отличные аналитические и презентационные навыки. Свободный английский, грамотная письменная речь. ","Анализ инвестиционных проектов, Финансовый анализ, Портфельный анализ, Финансовый менеджмент, Финансовое моделирование, Финансовый аудит, Финансовое планирование, Английский язык, Системный анализ",https://hh.ru/vacancy/117581998
Младший менеджер по маркетплейсам/Начинающий специалист/Аналитик по маркетплейсам,NELUBISH,Москва,Нет опыта,70000.0,120000.0,RUR,"Не боитесь новых задач, с которыми раньше не сталкивались. Умеете работать с информацией, структурировать и грамотно доносить. Соблюдаете дедлайны или...",Не указаны,https://hh.ru/vacancy/117755829
Аналитик (e-commerce),Планета Творчества,Москва,От 1 года до 3 лет,80000.0,120000.0,RUR,Внимательность: умение замечать малейшие отклонения в данных. Аналитический склад ума. Усидчивость и готовность к большому объему работы. Желание развиваться: готовность...,Не указаны,https://hh.ru/vacancy/117481461
Аналитик (экономист по работе с целевыми средствами),АНО Центр Поддержки Инжиниринга и Инноваций,Москва,Более 6 лет,200000.0,200000.0,RUR,"Основной уклон в работе будет в <highlighttext>аналитику</highlighttext>, методологию и контроль. Уровень владения Excel желателен на уровне выше среднего. ","Аналитическое мышление, Бюджетирование, Экономический анализ, Контроль бюджета, MS Excel",https://hh.ru/vacancy/117493821
